_组织编码,_普通编码,_人员手机号,flag
441,auto341,13671010341,
442,auto342,13671010342,
443,auto343,13671010343,
444,auto344,13671010344,
445,auto345,13671010345,
446,auto346,13671010346,
447,auto347,13671010347,
448,auto348,13671010348,
449,auto349,13671010349,
450,auto350,13671010350,
451,auto351,13671010351,
452,auto352,13671010352,
453,auto353,13671010353,
454,auto354,13671010354,
455,auto355,13671010355,
456,auto356,13671010356,
457,auto357,13671010357,
458,auto358,13671010358,
459,auto359,13671010359,
460,auto360,13671010360,
461,auto361,13671010361,
462,auto362,13671010362,
463,auto363,13671010363,
464,auto364,13671010364,
465,auto365,13671010365,
466,auto366,13671010366,
467,auto367,13671010367,
468,auto368,13671010368,
469,auto369,13671010369,
470,auto370,13671010370,
471,auto371,13671010371,
472,auto372,13671010372,
473,auto373,13671010373,
474,auto374,13671010374,
475,auto375,13671010375,
476,auto376,13671010376,
477,auto377,13671010377,
478,auto378,13671010378,
479,auto379,13671010379,
480,auto380,13671010380,
481,auto381,13671010381,
482,auto382,13671010382,
483,auto383,13671010383,
484,auto384,13671010384,
485,auto385,13671010385,
486,auto386,13671010386,
487,auto387,13671010387,
488,auto388,13671010388,
489,auto389,13671010389,
490,auto390,13671010390,
491,auto391,13671010391,
492,auto392,13671010392,
493,auto393,13671010393,
494,auto394,13671010394,
495,auto395,13671010395,
496,auto396,13671010396,
497,auto397,13671010397,
498,auto398,13671010398,
499,auto399,13671010399,
500,auto400,13671010400,
501,auto401,13671010401,
502,auto402,13671010402,
503,auto403,13671010403,
504,auto404,13671010404,
505,auto405,13671010405,
506,auto406,13671010406,
507,auto407,13671010407,
508,auto408,13671010408,
509,auto409,13671010409,
510,auto410,13671010410,
511,auto411,13671010411,
512,auto412,13671010412,
513,auto413,13671010413,
514,auto414,13671010414,
515,auto415,13671010415,
516,auto416,13671010416,
517,auto417,13671010417,
518,auto418,13671010418,
519,auto419,13671010419,
520,auto420,13671010420,
521,auto421,13671010421,
522,auto422,13671010422,
523,auto423,13671010423,
524,auto424,13671010424,
525,auto425,13671010425,
526,auto426,13671010426,
527,auto427,13671010427,
528,auto428,13671010428,
529,auto429,13671010429,
530,auto430,13671010430,
531,auto431,13671010431,
532,auto432,13671010432,
533,auto433,13671010433,
534,auto434,13671010434,
535,auto435,13671010435,
536,auto436,13671010436,
537,auto437,13671010437,
538,auto438,13671010438,
539,auto439,13671010439,
540,auto440,13671010440,
541,auto441,13671010441,
542,auto442,13671010442,
543,auto443,13671010443,
544,auto444,13671010444,
545,auto445,13671010445,
546,auto446,13671010446,
547,auto447,13671010447,
548,auto448,13671010448,
549,auto449,13671010449,
550,auto450,13671010450,
551,auto451,13671010451,
552,auto452,13671010452,
553,auto453,13671010453,
554,auto454,13671010454,
555,auto455,13671010455,
556,auto456,13671010456,
557,auto457,13671010457,
558,auto458,13671010458,
559,auto459,13671010459,
560,auto460,13671010460,
561,auto461,13671010461,
562,auto462,13671010462,
563,auto463,13671010463,
564,auto464,13671010464,
565,auto465,13671010465,
566,auto466,13671010466,
567,auto467,13671010467,
568,auto468,13671010468,
569,auto469,13671010469,
570,auto470,13671010470,
571,auto471,13671010471,
572,auto472,13671010472,
573,auto473,13671010473,
574,auto474,13671010474,
575,auto475,13671010475,
576,auto476,13671010476,
577,auto477,13671010477,
578,auto478,13671010478,
579,auto479,13671010479,
580,auto480,13671010480,
581,auto481,13671010481,
582,auto482,13671010482,
583,auto483,13671010483,
584,auto484,13671010484,
585,auto485,13671010485,
586,auto486,13671010486,
587,auto487,13671010487,
588,auto488,13671010488,
589,auto489,13671010489,
590,auto490,13671010490,
591,auto491,13671010491,
592,auto492,13671010492,
593,auto493,13671010493,
594,auto494,13671010494,
595,auto495,13671010495,
596,auto496,13671010496,
597,auto497,13671010497,
598,auto498,13671010498,
599,auto499,13671010499,
600,auto500,13671010500,
601,auto501,13671010501,
602,auto502,13671010502,
603,auto503,13671010503,
604,auto504,13671010504,
605,auto505,13671010505,
606,auto506,13671010506,
607,auto507,13671010507,
608,auto508,13671010508,
609,auto509,13671010509,
610,auto510,13671010510,
611,auto511,13671010511,
612,auto512,13671010512,
613,auto513,13671010513,
614,auto514,13671010514,
615,auto515,13671010515,
616,auto516,13671010516,
617,auto517,13671010517,
618,auto518,13671010518,
619,auto519,13671010519,
620,auto520,13671010520,
621,auto521,13671010521,
622,auto522,13671010522,
623,auto523,13671010523,
624,auto524,13671010524,
625,auto525,13671010525,
626,auto526,13671010526,
627,auto527,13671010527,
628,auto528,13671010528,
629,auto529,13671010529,
630,auto530,13671010530,
631,auto531,13671010531,
632,auto532,13671010532,
633,auto533,13671010533,
634,auto534,13671010534,
635,auto535,13671010535,
636,auto536,13671010536,
637,auto537,13671010537,
638,auto538,13671010538,
639,auto539,13671010539,
640,auto540,13671010540,
641,auto541,13671010541,
642,auto542,13671010542,
643,auto543,13671010543,
644,auto544,13671010544,
645,auto545,13671010545,
646,auto546,13671010546,
647,auto547,13671010547,
648,auto548,13671010548,
649,auto549,13671010549,
650,auto550,13671010550,
651,auto551,13671010551,
652,auto552,13671010552,
653,auto553,13671010553,
654,auto554,13671010554,
655,auto555,13671010555,
656,auto556,13671010556,
657,auto557,13671010557,
658,auto558,13671010558,
659,auto559,13671010559,
660,auto560,13671010560,
661,auto561,13671010561,
662,auto562,13671010562,
663,auto563,13671010563,
664,auto564,13671010564,
665,auto565,13671010565,
666,auto566,13671010566,
667,auto567,13671010567,
668,auto568,13671010568,
669,auto569,13671010569,
670,auto570,13671010570,
671,auto571,13671010571,
672,auto572,13671010572,
673,auto573,13671010573,
674,auto574,13671010574,
675,auto575,13671010575,
676,auto576,13671010576,
677,auto577,13671010577,
678,auto578,13671010578,
679,auto579,13671010579,
680,auto580,13671010580,
681,auto581,13671010581,
682,auto582,13671010582,
683,auto583,13671010583,
684,auto584,13671010584,
685,auto585,13671010585,
686,auto586,13671010586,
687,auto587,13671010587,
688,auto588,13671010588,
689,auto589,13671010589,
690,auto590,13671010590,
691,auto591,13671010591,
692,auto592,13671010592,
693,auto593,13671010593,
694,auto594,13671010594,
695,auto595,13671010595,
696,auto596,13671010596,
697,auto597,13671010597,
698,auto598,13671010598,
699,auto599,13671010599,
700,auto600,13671010600,
701,auto601,13671010601,
702,auto602,13671010602,
703,auto603,13671010603,
704,auto604,13671010604,
705,auto605,13671010605,
706,auto606,13671010606,
707,auto607,13671010607,
708,auto608,13671010608,
709,auto609,13671010609,
710,auto610,13671010610,
711,auto611,13671010611,
712,auto612,13671010612,
713,auto613,13671010613,
714,auto614,13671010614,
715,auto615,13671010615,
716,auto616,13671010616,
717,auto617,13671010617,
718,auto618,13671010618,
719,auto619,13671010619,
720,auto620,13671010620,
721,auto621,13671010621,
722,auto622,13671010622,
723,auto623,13671010623,
724,auto624,13671010624,
725,auto625,13671010625,
726,auto626,13671010626,
727,auto627,13671010627,
728,auto628,13671010628,
729,auto629,13671010629,
730,auto630,13671010630,
731,auto631,13671010631,
732,auto632,13671010632,
733,auto633,13671010633,
734,auto634,13671010634,
735,auto635,13671010635,
736,auto636,13671010636,
737,auto637,13671010637,
738,auto638,13671010638,
739,auto639,13671010639,
740,auto640,13671010640,
741,auto641,13671010641,
742,auto642,13671010642,
743,auto643,13671010643,
744,auto644,13671010644,
745,auto645,13671010645,
746,auto646,13671010646,
747,auto647,13671010647,
748,auto648,13671010648,
749,auto649,13671010649,
750,auto650,13671010650,
751,auto651,13671010651,
752,auto652,13671010652,
753,auto653,13671010653,
754,auto654,13671010654,
755,auto655,13671010655,
756,auto656,13671010656,
757,auto657,13671010657,
758,auto658,13671010658,
759,auto659,13671010659,
760,auto660,13671010660,
761,auto661,13671010661,
762,auto662,13671010662,
763,auto663,13671010663,
764,auto664,13671010664,
765,auto665,13671010665,
766,auto666,13671010666,
767,auto667,13671010667,
768,auto668,13671010668,
769,auto669,13671010669,
770,auto670,13671010670,
771,auto671,13671010671,
772,auto672,13671010672,
773,auto673,13671010673,
774,auto674,13671010674,
775,auto675,13671010675,
776,auto676,13671010676,
777,auto677,13671010677,
778,auto678,13671010678,
779,auto679,13671010679,
780,auto680,13671010680,
781,auto681,13671010681,
782,auto682,13671010682,
783,auto683,13671010683,
784,auto684,13671010684,
785,auto685,13671010685,
786,auto686,13671010686,
787,auto687,13671010687,
788,auto688,13671010688,
789,auto689,13671010689,
790,auto690,13671010690,
791,auto691,13671010691,
792,auto692,13671010692,
793,auto693,13671010693,
794,auto694,13671010694,
795,auto695,13671010695,
796,auto696,13671010696,
797,auto697,13671010697,
798,auto698,13671010698,
799,auto699,13671010699,
800,auto700,13671010700,
801,auto701,13671010701,
802,auto702,13671010702,
803,auto703,13671010703,
804,auto704,13671010704,
805,auto705,13671010705,
806,auto706,13671010706,
807,auto707,13671010707,
808,auto708,13671010708,
809,auto709,13671010709,
810,auto710,13671010710,
811,auto711,13671010711,
812,auto712,13671010712,
813,auto713,13671010713,
814,auto714,13671010714,
815,auto715,13671010715,
816,auto716,13671010716,
817,auto717,13671010717,
818,auto718,13671010718,
819,auto719,13671010719,
820,auto720,13671010720,
821,auto721,13671010721,
822,auto722,13671010722,
823,auto723,13671010723,
824,auto724,13671010724,
825,auto725,13671010725,
826,auto726,13671010726,
827,auto727,13671010727,
828,auto728,13671010728,
829,auto729,13671010729,
830,auto730,13671010730,
831,auto731,13671010731,
832,auto732,13671010732,
833,auto733,13671010733,
834,auto734,13671010734,
835,auto735,13671010735,
836,auto736,13671010736,
837,auto737,13671010737,
838,auto738,13671010738,
839,auto739,13671010739,
840,auto740,13671010740,
841,auto741,13671010741,
842,auto742,13671010742,
843,auto743,13671010743,
844,auto744,13671010744,
845,auto745,13671010745,
846,auto746,13671010746,
847,auto747,13671010747,
848,auto748,13671010748,
849,auto749,13671010749,
850,auto750,13671010750,
851,auto751,13671010751,
852,auto752,13671010752,
853,auto753,13671010753,
854,auto754,13671010754,
855,auto755,13671010755,
856,auto756,13671010756,
857,auto757,13671010757,
858,auto758,13671010758,
859,auto759,13671010759,
860,auto760,13671010760,
861,auto761,13671010761,
862,auto762,13671010762,
863,auto763,13671010763,
864,auto764,13671010764,
865,auto765,13671010765,
866,auto766,13671010766,
867,auto767,13671010767,
868,auto768,13671010768,
869,auto769,13671010769,
870,auto770,13671010770,
871,auto771,13671010771,
872,auto772,13671010772,
873,auto773,13671010773,
874,auto774,13671010774,
875,auto775,13671010775,
876,auto776,13671010776,
877,auto777,13671010777,
878,auto778,13671010778,
879,auto779,13671010779,
880,auto780,13671010780,
881,auto781,13671010781,
882,auto782,13671010782,
883,auto783,13671010783,
884,auto784,13671010784,
885,auto785,13671010785,
886,auto786,13671010786,
887,auto787,13671010787,
888,auto788,13671010788,
889,auto789,13671010789,
890,auto790,13671010790,
891,auto791,13671010791,
892,auto792,13671010792,
893,auto793,13671010793,
894,auto794,13671010794,
895,auto795,13671010795,
896,auto796,13671010796,
897,auto797,13671010797,
898,auto798,13671010798,
899,auto799,13671010799,
900,auto800,13671010800,
901,auto801,13671010801,
902,auto802,13671010802,
903,auto803,13671010803,
904,auto804,13671010804,
905,auto805,13671010805,
906,auto806,13671010806,
907,auto807,13671010807,
908,auto808,13671010808,
909,auto809,13671010809,
910,auto810,13671010810,
911,auto811,13671010811,
912,auto812,13671010812,
913,auto813,13671010813,
914,auto814,13671010814,
915,auto815,13671010815,
916,auto816,13671010816,
917,auto817,13671010817,
918,auto818,13671010818,
919,auto819,13671010819,
920,auto820,13671010820,
921,auto821,13671010821,
922,auto822,13671010822,
923,auto823,13671010823,
924,auto824,13671010824,
925,auto825,13671010825,
926,auto826,13671010826,
927,auto827,13671010827,
928,auto828,13671010828,
929,auto829,13671010829,
930,auto830,13671010830,
931,auto831,13671010831,
932,auto832,13671010832,
933,auto833,13671010833,
934,auto834,13671010834,
935,auto835,13671010835,
936,auto836,13671010836,
937,auto837,13671010837,
938,auto838,13671010838,
939,auto839,13671010839,
940,auto840,13671010840,
941,auto841,13671010841,
942,auto842,13671010842,
943,auto843,13671010843,
944,auto844,13671010844,
945,auto845,13671010845,
946,auto846,13671010846,
947,auto847,13671010847,
948,auto848,13671010848,
949,auto849,13671010849,
950,auto850,13671010850,
951,auto851,13671010851,
952,auto852,13671010852,
953,auto853,13671010853,
954,auto854,13671010854,
955,auto855,13671010855,
956,auto856,13671010856,
957,auto857,13671010857,
958,auto858,13671010858,
959,auto859,13671010859,
960,auto860,13671010860,
961,auto861,13671010861,
962,auto862,13671010862,
963,auto863,13671010863,
964,auto864,13671010864,
965,auto865,13671010865,
966,auto866,13671010866,
967,auto867,13671010867,
968,auto868,13671010868,
969,auto869,13671010869,
970,auto870,13671010870,
971,auto871,13671010871,
972,auto872,13671010872,
973,auto873,13671010873,
974,auto874,13671010874,
975,auto875,13671010875,
976,auto876,13671010876,
977,auto877,13671010877,
978,auto878,13671010878,
979,auto879,13671010879,
980,auto880,13671010880,
981,auto881,13671010881,
982,auto882,13671010882,
983,auto883,13671010883,
984,auto884,13671010884,
985,auto885,13671010885,
986,auto886,13671010886,
987,auto887,13671010887,
988,auto888,13671010888,
989,auto889,13671010889,
990,auto890,13671010890,
991,auto891,13671010891,
992,auto892,13671010892,
993,auto893,13671010893,
994,auto894,13671010894,
995,auto895,13671010895,
996,auto896,13671010896,
997,auto897,13671010897,
998,auto898,13671010898,
999,auto899,13671010899,
1000,auto900,13671010900,
1001,auto901,13671010901,
1002,auto902,13671010902,
1003,auto903,13671010903,
1004,auto904,13671010904,
1005,auto905,13671010905,
1006,auto906,13671010906,
1007,auto907,13671010907,
1008,auto908,13671010908,
1009,auto909,13671010909,
1010,auto910,13671010910,
1011,auto911,13671010911,
1012,auto912,13671010912,
1013,auto913,13671010913,
1014,auto914,13671010914,
1015,auto915,13671010915,
1016,auto916,13671010916,
1017,auto917,13671010917,
1018,auto918,13671010918,
1019,auto919,13671010919,
1020,auto920,13671010920,
1021,auto921,13671010921,
1022,auto922,13671010922,
1023,auto923,13671010923,
1024,auto924,13671010924,
1025,auto925,13671010925,
1026,auto926,13671010926,
1027,auto927,13671010927,
1028,auto928,13671010928,
1029,auto929,13671010929,
1030,auto930,13671010930,
1031,auto931,13671010931,
1032,auto932,13671010932,
1033,auto933,13671010933,
1034,auto934,13671010934,
1035,auto935,13671010935,
1036,auto936,13671010936,
1037,auto937,13671010937,
1038,auto938,13671010938,
1039,auto939,13671010939,
1040,auto940,13671010940,
1041,auto941,13671010941,
1042,auto942,13671010942,
1043,auto943,13671010943,
1044,auto944,13671010944,
1045,auto945,13671010945,
1046,auto946,13671010946,
1047,auto947,13671010947,
1048,auto948,13671010948,
1049,auto949,13671010949,
1050,auto950,13671010950,
1051,auto951,13671010951,
1052,auto952,13671010952,
1053,auto953,13671010953,
1054,auto954,13671010954,
1055,auto955,13671010955,
1056,auto956,13671010956,
1057,auto957,13671010957,
1058,auto958,13671010958,
1059,auto959,13671010959,
1060,auto960,13671010960,
1061,auto961,13671010961,
1062,auto962,13671010962,
1063,auto963,13671010963,
1064,auto964,13671010964,
1065,auto965,13671010965,
1066,auto966,13671010966,
1067,auto967,13671010967,
1068,auto968,13671010968,
1069,auto969,13671010969,
1070,auto970,13671010970,
1071,auto971,13671010971,
1072,auto972,13671010972,
1073,auto973,13671010973,
1074,auto974,13671010974,
1075,auto975,13671010975,
1076,auto976,13671010976,
1077,auto977,13671010977,
1078,auto978,13671010978,
1079,auto979,13671010979,
1080,auto980,13671010980,
1081,auto981,13671010981,
1082,auto982,13671010982,
1083,auto983,13671010983,
1084,auto984,13671010984,
1085,auto985,13671010985,
1086,auto986,13671010986,
1087,auto987,13671010987,
1088,auto988,13671010988,
1089,auto989,13671010989,
1090,auto990,13671010990,
1091,auto991,13671010991,
1092,auto992,13671010992,
1093,auto993,13671010993,
1094,auto994,13671010994,
1095,auto995,13671010995,
1096,auto996,13671010996,
1097,auto997,13671010997,
1098,auto998,13671010998,
1099,auto999,13671010999,
1100,auto1000,13671011000,
